email_name,subject,trigger,category,body
"Public Description - Artist","N/A - Public Page","application_page_load","artists","**Please review the updated 2026 rates and guidelines below before submitting your application.**
• We now cover all processing fees. The price you see is exactly what you pay.
• Early Rate (Paid by [paymentDueDate]):
     • [category_price] for your first two pieces.
     • [category_price] per additional piece (3–10).
• Late Rate (Paid after [paymentDueDate]):
     • $25 for your first two pieces.
     • $25 per additional piece.
• No Commission: You manage your own sales and keep 100% of your profits.
• Maximum 3ft x 3ft per piece. No exceptions.
• Tables are not permitted for hanging artists. Small floor bins/boxes for prints are allowed.
• Installation is scheduled for [category_install_date] from [category_install_time].
• Load-Out: All artwork must be removed at the end of the night.
• Strict [age]+ age policy enforced by the venue."
"Public Description - Vendor","N/A - Public Page","application_page_load","vendors","These spaces are intended for those that sell non-hangable physical merchandise, e.g. clothing, jewelry, candles, pens, cards, and/or prints smaller than 8.5x11.
• Vending fee is [category_price]. Prepayment is required; spots are not held without payment.
• Allotted footprint is for ONE 6ft table. No tents or multiple tables permitted.
• You must provide your own table and chair. We do not provide them.
• Access to outlets is included. Bringing a personal light source is highly recommended for best display.
• Load-in is at [category_install_time] on show day. Please do not arrive early.
• No MLM/Direct Sales. No shared tables."
"Invitation Email","Submissions Open - [eventName]","manual_invite","all","Hi [greetingName],

We're pumped to announce that submissions are officially open for the next [eventName] at [venue] on [date].

Submit your work below:

ARTIST / GALLERY SUBMISSIONS
For artists exhibiting artwork on the walls
Apply Here [category.applicationLink]

TABLE VENDOR SUBMISSIONS
For those setting up a TABLE space (Clothing, jewelry, and other table merch)
Apply Here [category.applicationLink]

I'm looking forward to your submission.

Thanks,
[organizationName]

P.S. If you can't make the date, please let us know here."
"Application Received - Artist","Application Received - [eventName]","application_submitted","artists","Hi [greetingName],

Thanks for submitting your application to participate in The [eventName] at [venue] on [date_range]. Please allow up to 10 days for us to review your submission and get back to you.

In the meantime, please visit our Instagram page (@pancakesandbooze) and check out the ""FAQs"" in our Story Highlights for details on how our events work.

Exhibition Pricing Update

We've updated our exhibition structure for 2026. We are now offering one free piece after your first paid exhibition space. And to keep our pricing transparent, we are now covering all ticketing and processing fees—the price you see below is exactly what you pay at checkout with no hidden service fees.

The Rate:
• 1st Piece: [category_price]
• 2nd Piece: FREE
• Pieces 3-10: [category_price] each
• Note: If fees are paid after [paymentDueDate], the rate increases to $25 per piece (2nd piece remains free).

The Details:
• NO COMMISSION: You manage your own sales and take 100% of what you sell.
• SIZE LIMIT: Each piece should not exceed 3ft x 3ft.
• INSTALLATION: Currently scheduled for [category_install_date] from [category_install_time].
• NO TABLES: Artists hanging artwork cannot use tables. Small bins/boxes on the floor are permitted.
• LOAD OUT: All artwork must be taken home at the end of the night. We are not responsible for items left behind.
• AGE POLICY: The venue enforces a strict [age] age policy.

Attention Live Painters: We love featuring live body painting and canvas work. If you'd like to paint live, let us know so we can coordinate promotion on our socials.

Thanks,
[organizationName]

If you're unable to participate, please click here to let us know."
"Application Received - Vendor","Vendor Application Received - [eventName]","application_submitted","vendors","Hi [greetingName],

We've received your request to set up a VENDOR TABLE at The [eventName] on [date_range] at [venue]. This is NOT an acceptance email. You will receive another email and text message with further information if you're selected.

IMPORTANT: Vendor tables are strictly for non-hangable merchandise (clothing, jewelry, etc). If you have paintings or wall art, you have filled out the WRONG application. We do not permit canvas paintings, drawings, or prints larger than a greeting card on vendor tables. If this is you, please email us immediately so we can get you the correct artist information.

Selection & Pricing

Table space is extremely limited and in high demand. If you are selected, PREPAYMENT IS REQUIRED to reserve your space. Your spot is only guaranteed once payment is received.

The vending fee is [category_price]. To keep our pricing transparent, we now cover all ticketing and processing fees—the price you see is exactly what you pay at checkout with no hidden service fees.

The Details:
• SPACE: Large enough for ONE 6ft table. No tents or multiple tables allowed.
• EQUIPMENT: You must provide your own table and chair. We do not provide them.
• LOAD-IN: Starts at [category_install_time] on the day of the show. Please do not arrive early.
• AGE POLICY: The venue enforces a strict [age] age policy.

New to the event? Check us out @pancakesandbooze on Instagram and TikTok for a look at the vibe.

Thanks,
[organizationName]

If you're unable to participate, please click here to let us know."
"Application Accepted - Artist","You're In! [eventName]","status_change_accepted","artists","Hi [greetingName],

Congratulations! You've been invited to exhibit at The [eventName] on [date_range] at [venue].

We received a high volume of applications, and we're excited to have your work in the mix. Please note that we do not hold spots; your space is only officially secured once your exhibition fees are received.

Step 1: Secure Your Space

PAYMENT LINK: CONFIRM YOUR EXHIBIT HERE [category.paymentLink]

Exhibition Rates (No Hidden Fees):
• 1st Piece: [category_price]
• 2nd Piece: FREE
• Pieces 3-10: [category_price] each
• Note: Prices increase to $25/piece after [paymentDueDate].

Cancellation Policy: Full refunds are available for cancellations made up to 72 hours before the event. Cancellations within 72 hours are non-refundable.

What Happens Next?
Once your payment is confirmed, keep an eye on your inbox for our Artist Roadmap series:
• 30 Days Out: You'll receive a ""Prep Guide"" detailing our salon-style hanging requirements and hardware tips.
• 14 Days Out: We'll launch our marketing blitz and send you the official promo toolkit to help drive sales.
• 3-6 Days Out: Final logistics, load-in times, and venue updates will be sent via Eventbrite.

Quick Guidelines:
• NO COMMISSION: You keep 100% of your sales.
• SIZE LIMIT: Max 3ft x 3ft per piece. No exceptions.
• NO TABLES: Tables are for vendors only. Artists may use small floor bins for prints.
• AGE POLICY: Strict [age] policy.

Online Marketplace: P&B Artists can sell year-round at district.net/pancakesandbooze.

Thanks,
[organizationName]

Plans changed? Click here to release your space to the next artist on our waitlist."
"Application Accepted - Vendor","You're Approved! [eventName]","status_change_accepted","vendors","Hi [greetingName],

Congratulations! You've been approved to vend at The [eventName] on [date_range] at [venue].

We received a high volume of applications for this show, and we're excited to have your brand in the mix. Because vendor space is extremely limited, we do not hold spots. Your space is only officially reserved once payment is completed through the link below.

Step 1: Secure Your Space

The vending fee is [category_price]. To keep our pricing transparent, we now cover all ticketing and processing fees—the price you see is exactly what you pay at checkout.

PAYMENT LINK: SECURE YOUR TABLE HERE [category.paymentLink]

Cancellation Policy: We understand that life happens. We offer full refunds for cancellations made up to 72 hours before the event. This allows us time to offer the space to a vendor on our waitlist. Cancellations made within 72 hours of the show are non-refundable.

Step 2: Spread the Word
The most successful shows happen when we all hustle together. Tag @pancakesandbooze and use #pancakesandbooze in your posts so we can find and feature your work leading up to the event.

Event Day Details:
• Location: [venue] — [address], [eventName]
• Load-In: [category_install_date] at [category_install_time]. (The venue will not be open for setup prior to this time).
• Setup: You are allowed ONE 6ft table. You must provide your own table and chair. Grid walls and racks are permitted if they fit within your approx. 8ft x 5ft footprint.
• Staffing: Your space includes entry for one person (you). All assistants or guests must purchase a general admission ticket.
• Load-Out: Must be completed by the end of the event. We are not responsible for items left behind.
• Merchandise: Strictly non-hangable items only. No wall art/paintings permitted at vendor tables.
• Age Policy: You must be [age] to participate.

If you have any questions, feel free to reply to this email.

Thanks,
[organizationName]

If your plans have changed and you can no longer participate, please click here to release your spot to the next person on our waitlist."
"Waitlist","You're on the Waitlist - [eventName]","status_change_waitlist","all","Hi [greetingName],

Thank you for your interest in [eventName].

After careful review, we've placed you on the waitlist. If a spot opens up, we'll contact you right away.

• Event: [eventDate]
• Location: [eventLocation]

We truly appreciate your interest and encourage you to stay tuned for updates.

Best,
[producerName]"
"Art Call - 10 Weeks","Submissions Open - [eventName]","scheduled_10_weeks_out","all","Hi [greetingName],

[organizationName] is back in [location] and submissions are open for our upcoming show at [venue] on [date_range].

Your first TWO pieces are just [category_price] total if your exhibition fee is paid by [paymentDueDate].

We'd be stoked to have you back. Please follow the appropriate link below to get your application in:

GALLERY EXHIBITION (Wall Space)
Paintings, Photography, Mixed Media, & Sculptures
Artists Apply Here [category.applicationLink]

VENDOR MARKET (Table Space)
Clothing, Jewelry, Handcrafted Goods, & Small Merch (No wall art)
Vendors Apply Here [category.applicationLink]

We look forward to your submission!

[organizationName]

P.S. - If you can't make this show and want to stop receiving reminders for this specific date, please let us know."
"Art Call - 8 Weeks","Two Months Out - [eventName]","scheduled_8_weeks_out","all","Hey [greetingName],

Ready for another round of [organizationName]? We're back in [location] at [venue] on [date_range] and we'd love to have you there.

We are officially two months out, so now is the time to lock in your spot.

The Deal: Your first TWO pieces are just [category_price] total if your exhibition fee is paid by [paymentDueDate].

We have your info on file, so applying is easy—just visit the appropriate link below and click ""Yes, Sign Me Up."" It takes two seconds.

GALLERY EXHIBITION (Wall Space)
Paintings, Photography, Mixed Media, & Sculptures
ARTIST SUBMISSIONS - Apply Here [category.applicationLink]

VENDOR MARKET (Table Space)
Clothing, Jewelry, Handcrafted Goods, & Small Merch (No wall art)
VENDOR SUBMISSIONS - Apply Here [category.applicationLink]

If you have any questions, just hit reply and let me know.

Thanks,
[organizationName]

P.S. - If you can't make this show and want to stop receiving reminders for this specific date, please let us know."
